GalaxyID,Morphology
100008,Spiral
100023,Spiral
100053,Elliptical
100078,Elliptical
100090,Elliptical
100122,Elliptical
100123,Elliptical
100128,Elliptical
100134,Spiral
100143,Elliptical
100150,Irregular
100157,Irregular
100187,Spiral
100204,Spiral
100237,Spiral
100259,Spiral
100263,Spiral
100288,Elliptical
100295,Elliptical
100322,Elliptical
100335,Spiral
100367,Elliptical
100380,Spiral
100382,Spiral
100383,Spiral
100402,Elliptical
100428,Elliptical
100434,Elliptical
100444,Elliptical
100445,Spiral
100458,Elliptical
100474,Elliptical
100479,Elliptical
100506,Spiral
100513,Elliptical
100520,Spiral
100541,Elliptical
100561,Spiral
100571,Elliptical
100601,Elliptical
100623,Elliptical
100672,Elliptical
100673,Spiral
100724,Elliptical
100727,Elliptical
100730,Elliptical
100740,Elliptical
100744,Elliptical
100765,Spiral
100774,Elliptical
100801,Spiral
100813,Spiral
100821,Irregular
100822,Spiral
100836,Elliptical
100852,Elliptical
100859,Spiral
100861,Elliptical
100867,Elliptical
100887,Elliptical
100894,Spiral
100938,Elliptical
100951,Spiral
100986,Elliptical
101007,Spiral
101061,Elliptical
101074,Spiral
101092,Elliptical
101127,Elliptical
101133,Spiral
101135,Elliptical
101140,Spiral
101151,Elliptical
101164,Elliptical
101166,Spiral
101181,Elliptical
101232,Elliptical
101239,Spiral
101244,Spiral
101246,Elliptical
101247,Elliptical
101251,Elliptical
101275,Irregular
101283,Elliptical
101286,Elliptical
101290,Elliptical
101291,Elliptical
101296,Elliptical
101298,Spiral
101306,Elliptical
101307,Spiral
101315,Spiral
101324,Spiral
101325,Elliptical
101355,Elliptical
101358,Spiral
101371,Elliptical
101374,Elliptical
101375,Spiral
101427,Spiral
101469,Elliptical
101493,Spiral
101501,Spiral
101502,Elliptical
101518,Elliptical
101538,Elliptical
101548,Elliptical
101549,Spiral
101563,Elliptical
101564,Spiral
101572,Elliptical
101589,Spiral
101591,Spiral
101595,Elliptical
101597,Elliptical
101599,Elliptical
101623,Elliptical
101627,Elliptical
101651,Elliptical
101654,Elliptical
101660,Spiral
101666,Spiral
101685,Spiral
101695,Elliptical
101701,Spiral
101718,Spiral
101754,Elliptical
101756,Irregular
101762,Elliptical
101774,Spiral
101787,Spiral
101788,Elliptical
101798,Elliptical
101804,Spiral
101807,Spiral
101816,Elliptical
101848,Elliptical
101854,Elliptical
101858,Elliptical
101875,Elliptical
101893,Elliptical
101941,Irregular
101943,Elliptical
101955,Spiral
101971,Elliptical
101980,Elliptical
101991,Spiral
101995,Elliptical
101997,Elliptical
102000,Elliptical
102015,Elliptical
102021,Elliptical
102027,Spiral
102040,Irregular
102046,Spiral
102047,Elliptical
102113,Spiral
102115,Elliptical
102159,Spiral
102174,Elliptical
102176,Spiral
102182,Elliptical
102243,Spiral
102260,Elliptical
102271,Spiral
102295,Elliptical
102328,Spiral
102347,Elliptical
102371,Elliptical
102391,Irregular
102402,Irregular
102406,Spiral
102407,Spiral
102422,Spiral
102433,Spiral
102471,Elliptical
102474,Spiral
102481,Elliptical
102513,Elliptical
102556,Elliptical
102595,Spiral
102602,Elliptical
102616,Elliptical
102642,Elliptical
102649,Elliptical
102657,Spiral
102699,Spiral
102701,Spiral
102729,Elliptical
102731,Elliptical
102735,Spiral
102742,Spiral
102743,Elliptical
102765,Spiral
102770,Elliptical
102799,Elliptical
102804,Elliptical
102808,Elliptical
102812,Elliptical
102822,Irregular
102834,Elliptical
102839,Elliptical
102843,Elliptical
102863,Elliptical
102871,Elliptical
102874,Spiral
102919,Spiral
102928,Elliptical
102933,Elliptical
102964,Spiral
102974,Spiral
102977,Elliptical
102982,Elliptical
102990,Spiral
102998,Elliptical
103019,Spiral
103037,Spiral
103040,Elliptical
103072,Elliptical
103075,Spiral
103132,Elliptical
103159,Spiral
103167,Spiral
103191,Elliptical
103224,Elliptical
103233,Elliptical
103246,Spiral
103255,Elliptical
103260,Elliptical
103318,Spiral
103323,Elliptical
103348,Elliptical
103353,Elliptical
103354,Elliptical
103356,Spiral
103373,Spiral
103386,Elliptical
103393,Elliptical
103444,Elliptical
103445,Spiral
103491,Irregular
103500,Elliptical
103503,Spiral
103520,Spiral
103523,Irregular
103533,Spiral
103547,Spiral
103561,Spiral
103577,Elliptical
103592,Spiral
103610,Elliptical
103626,Elliptical
103645,Elliptical
103646,Elliptical
103707,Elliptical
103718,Elliptical
103731,Elliptical
103750,Spiral
103751,Spiral
103754,Spiral
103758,Elliptical
103769,Spiral
103787,Elliptical
103818,Spiral
103819,Elliptical
103824,Spiral
103882,Spiral
103900,Elliptical
103902,Elliptical
103904,Elliptical
103907,Elliptical
103950,Spiral
103955,Elliptical
103974,Spiral
103979,Spiral
103999,Spiral
104001,Spiral
104008,Elliptical
104020,Spiral
104040,Irregular
104041,Elliptical
104096,Elliptical
104110,Elliptical
104131,Spiral
104141,Elliptical
104143,Elliptical
104159,Elliptical
104173,Elliptical
104196,Elliptical
104212,Elliptical
104216,Elliptical
104222,Spiral
104234,Spiral
104243,Elliptical
104253,Elliptical
104267,Elliptical
104268,Spiral
104279,Elliptical
104281,Elliptical
104287,Elliptical
104310,Spiral
104314,Spiral
104317,Spiral
104354,Spiral
104365,Spiral
104387,Elliptical
104389,Spiral
104398,Elliptical
104414,Elliptical
104420,Spiral
104422,Elliptical
104440,Elliptical
104460,Elliptical
104478,Irregular
104516,Elliptical
104536,Irregular
104540,Spiral
104589,Spiral
104602,Elliptical
104608,Spiral
104610,Spiral
104611,Elliptical
104612,Elliptical
104624,Spiral
104703,Elliptical
104709,Elliptical
104721,Spiral
104723,Elliptical
104751,Spiral
104764,Elliptical
104769,Elliptical
104784,Spiral
104788,Spiral
104819,Elliptical
104830,Elliptical
104920,Spiral
104929,Elliptical
104934,Spiral
104962,Elliptical
104977,Elliptical
104988,Elliptical
104991,Spiral
105009,Spiral
105014,Spiral
105020,Elliptical
105028,Irregular
105056,Spiral
105069,Spiral
105070,Spiral
105082,Elliptical
105088,Elliptical
105092,Elliptical
105117,Spiral
105165,Elliptical
105201,Elliptical
105216,Irregular
105218,Irregular
105221,Irregular
105257,Spiral
105258,Elliptical
105279,Elliptical
105314,Spiral
105331,Elliptical
105334,Spiral
105354,Elliptical
105364,Elliptical
105365,Spiral
105381,Elliptical
105417,Spiral
105447,Elliptical
105459,Elliptical
105497,Spiral
105500,Spiral
105507,Elliptical
105513,Elliptical
105529,Spiral
105539,Spiral
105541,Elliptical
105572,Spiral
105576,Spiral
105581,Elliptical
105613,Spiral
105631,Spiral
105648,Elliptical
105653,Spiral
105700,Spiral
105743,Elliptical
105755,Elliptical
105757,Elliptical
105758,Spiral
105762,Elliptical
105764,Elliptical
105772,Elliptical
105774,Spiral
105787,Spiral
105797,Elliptical
105846,Spiral
105868,Elliptical
105870,Elliptical
105879,Irregular
105881,Spiral
105900,Spiral
105902,Spiral
105925,Spiral
105940,Elliptical
105973,Spiral
105983,Spiral
105984,Spiral
105986,Irregular
105991,Elliptical
106000,Elliptical
106018,Elliptical
106028,Elliptical
106039,Spiral
106040,Elliptical
106044,Elliptical
106049,Spiral
106059,Spiral
106079,Spiral
106105,Elliptical
106124,Elliptical
106147,Elliptical
106165,Spiral
106170,Elliptical
106176,Elliptical
106199,Elliptical
106205,Elliptical
106206,Elliptical
106230,Elliptical
106263,Spiral
106275,Spiral
106298,Elliptical
106355,Spiral
106357,Elliptical
106388,Elliptical
106390,Spiral
106409,Spiral
106429,Elliptical
106432,Elliptical
106463,Elliptical
106471,Spiral
106499,Elliptical
106514,Spiral
106544,Elliptical
106612,Elliptical
106621,Spiral
106646,Elliptical
106652,Elliptical
106664,Spiral
106670,Elliptical
106689,Elliptical
106694,Elliptical
106705,Spiral
106725,Elliptical
106739,Spiral
106749,Elliptical
106773,Elliptical
106777,Spiral
106781,Elliptical
106784,Spiral
106788,Elliptical
106800,Elliptical
106803,Spiral
106812,Elliptical
106819,Spiral
106829,Elliptical
106841,Elliptical
106882,Elliptical
106885,Irregular
106886,Spiral
106896,Elliptical
106919,Elliptical
106923,Elliptical
106931,Spiral
106944,Spiral
106973,Elliptical
106986,Elliptical
107012,Spiral
107019,Elliptical
107055,Elliptical
107064,Irregular
107084,Spiral
107106,Elliptical
107117,Elliptical
107143,Elliptical
107159,Spiral
107193,Spiral
107197,Elliptical
107202,Spiral
107229,Irregular
107231,Elliptical
107261,Elliptical
107268,Spiral
107272,Elliptical
107290,Spiral
107298,Elliptical
107314,Elliptical
107355,Spiral
107374,Spiral
107379,Spiral
107383,Elliptical
107388,Elliptical
107394,Elliptical
107403,Elliptical
107406,Spiral
107415,Spiral
107422,Elliptical
107434,Spiral
107435,Elliptical
107454,Elliptical
107461,Elliptical
107466,Elliptical
107480,Elliptical
107496,Irregular
107510,Elliptical
107517,Spiral
107521,Elliptical
107524,Spiral
107527,Elliptical
107539,Elliptical
107553,Elliptical
107555,Spiral
107559,Spiral
107560,Elliptical
107562,Spiral
107563,Spiral
107573,Elliptical
107576,Elliptical
107583,Elliptical
107593,Spiral
107597,Elliptical
107606,Spiral
107608,Elliptical
107610,Elliptical
107613,Elliptical
107616,Spiral
107619,Elliptical
107627,Spiral
107629,Spiral
107631,Elliptical
107660,Spiral
107688,Elliptical
107692,Elliptical
107709,Spiral
107720,Elliptical
107736,Spiral
107745,Irregular
107747,Spiral
107794,Elliptical
107810,Elliptical
107823,Elliptical
107828,Elliptical
107831,Spiral
107849,Elliptical
107859,Spiral
107888,Elliptical
107943,Spiral
107946,Elliptical
107951,Spiral
107954,Elliptical
107961,Elliptical
107966,Elliptical
107967,Elliptical
107972,Spiral
107975,Elliptical
107985,Elliptical
107987,Spiral
108012,Spiral
108017,Elliptical
108038,Spiral
108041,Elliptical
108051,Spiral
108066,Elliptical
108088,Elliptical
108103,Elliptical
108105,Spiral
108111,Elliptical
108146,Elliptical
108160,Elliptical
108182,Elliptical
108195,Elliptical
108207,Elliptical
108225,Irregular
108251,Spiral
108272,Spiral
108305,Elliptical
108326,Spiral
108481,Elliptical
108497,Spiral
108507,Irregular
108545,Elliptical
108551,Elliptical
108574,Spiral
108580,Elliptical
108584,Elliptical
108601,Spiral
108608,Spiral
108624,Elliptical
108642,Spiral
108645,Elliptical
108649,Irregular
108661,Elliptical
108672,Elliptical
108692,Elliptical
108715,Elliptical
108717,Elliptical
108742,Spiral
108757,Elliptical
108764,Spiral
108772,Spiral
108779,Irregular
108786,Elliptical
108914,Elliptical
108917,Elliptical
108920,Elliptical
108928,Elliptical
108929,Spiral
108947,Spiral
108952,Elliptical
108959,Elliptical
108961,Spiral
108979,Elliptical
108985,Spiral
108988,Elliptical
108991,Elliptical
108994,Elliptical
109011,Spiral
109033,Elliptical
109074,Elliptical
109083,Spiral
109096,Spiral
109098,Elliptical
109112,Irregular
109124,Spiral
109127,Elliptical
109132,Spiral
109135,Spiral
109155,Elliptical
109180,Elliptical
109215,Elliptical
109255,Spiral
109266,Spiral
109282,Elliptical
109292,Elliptical
109330,Elliptical
109333,Elliptical
109360,Elliptical
109361,Irregular
109366,Spiral
109380,Spiral
109402,Elliptical
109404,Elliptical
109414,Elliptical
109422,Spiral
109449,Elliptical
109509,Elliptical
109529,Spiral
109568,Spiral
109595,Elliptical
109623,Elliptical
109629,Spiral
109630,Elliptical
109682,Elliptical
109688,Irregular
109699,Elliptical
109715,Elliptical
109718,Spiral
109727,Elliptical
109740,Elliptical
109744,Spiral
109750,Elliptical
109772,Spiral
109780,Irregular
109827,Elliptical
109868,Spiral
109879,Elliptical
109885,Irregular
109888,Irregular
109946,Spiral
109977,Elliptical
110034,Spiral
110063,Spiral
110074,Elliptical
110076,Elliptical
110109,Spiral
110118,Spiral
110121,Elliptical
110129,Elliptical
110139,Elliptical
110149,Elliptical
110178,Elliptical
110195,Elliptical
110217,Spiral
110250,Elliptical
110285,Spiral
110306,Elliptical
110313,Elliptical
110339,Irregular
110348,Elliptical
110349,Elliptical
110364,Elliptical
110370,Elliptical
110375,Spiral
110384,Irregular
110388,Elliptical
110389,Spiral
110404,Irregular
110411,Elliptical
110429,Elliptical
110465,Spiral
110466,Elliptical
110480,Elliptical
110521,Elliptical
110528,Spiral
110538,Elliptical
110566,Spiral
110596,Spiral
110619,Spiral
110633,Spiral
110636,Elliptical
110676,Spiral
110678,Elliptical
110695,Spiral
110707,Spiral
110710,Spiral
110713,Spiral
110719,Irregular
110746,Spiral
110763,Spiral
110789,Irregular
110805,Elliptical
110808,Elliptical
110821,Elliptical
110837,Spiral
110844,Spiral
110858,Elliptical
110887,Spiral
110923,Spiral
110964,Spiral
110966,Spiral
111022,Spiral
111038,Elliptical
111121,Spiral
111123,Spiral
111125,Elliptical
111141,Spiral
111142,Elliptical
111149,Elliptical
111175,Spiral
111182,Elliptical
111207,Elliptical
111223,Elliptical
111240,Elliptical
111245,Elliptical
111259,Elliptical
111266,Spiral
111274,Elliptical
111286,Spiral
111298,Elliptical
111302,Irregular
111305,Irregular
111312,Elliptical
111383,Elliptical
111398,Elliptical
111399,Elliptical
111411,Elliptical
111417,Elliptical
111428,Elliptical
111481,Elliptical
111484,Elliptical
111491,Spiral
111499,Elliptical
111514,Spiral
111534,Spiral
111552,Spiral
111553,Irregular
111597,Elliptical
111615,Irregular
111622,Spiral
111658,Spiral
111660,Elliptical
111667,Irregular
111681,Elliptical
111715,Spiral
111716,Spiral
111725,Elliptical
111727,Elliptical
111743,Spiral
111753,Elliptical
111770,Spiral
111775,Spiral
111791,Spiral
111792,Spiral
111793,Elliptical
111799,Spiral
111804,Spiral
111834,Elliptical
111839,Elliptical
111858,Elliptical
111879,Spiral
111882,Irregular
111883,Irregular
111910,Spiral
111924,Elliptical
111937,Elliptical
111979,Spiral
111980,Elliptical
112016,Elliptical
112017,Elliptical
112034,Spiral
112072,Spiral
112119,Elliptical
112122,Spiral
112125,Spiral
112135,Elliptical
112148,Elliptical
112167,Elliptical
112177,Spiral
112188,Spiral
112196,Spiral
112229,Elliptical
112245,Spiral
112254,Elliptical
112259,Spiral
112263,Spiral
112282,Spiral
112311,Elliptical
112314,Spiral
112345,Spiral
112359,Elliptical
112404,Spiral
112420,Spiral
112438,Elliptical
112444,Spiral
112479,Spiral
112512,Elliptical
112518,Spiral
112527,Spiral
112536,Elliptical
112538,Spiral
112574,Elliptical
112586,Spiral
112592,Elliptical
112623,Spiral
112627,Spiral
112628,Elliptical
112665,Spiral
112674,Spiral
112678,Elliptical
112698,Spiral
112700,Spiral
112726,Spiral
112764,Elliptical
112769,Spiral
112814,Elliptical
112819,Elliptical
112824,Spiral
112826,Elliptical
112835,Spiral
112841,Elliptical
112843,Spiral
112846,Elliptical
112873,Elliptical
112918,Elliptical
112964,Elliptical
112965,Elliptical
112988,Elliptical
112997,Spiral
113072,Elliptical
113102,Spiral
113118,Elliptical
113142,Elliptical
113149,Elliptical
113166,Elliptical
113168,Spiral
113196,Spiral
113267,Elliptical
113271,Spiral
113279,Elliptical
113284,Spiral
113289,Spiral
113303,Spiral
113305,Elliptical
113317,Spiral
113322,Spiral
113373,Elliptical
113394,Elliptical
113402,Irregular
113417,Elliptical
113418,Elliptical
113420,Elliptical
113436,Elliptical
113444,Elliptical
113452,Elliptical
113457,Elliptical
113470,Elliptical
113475,Irregular
113477,Spiral
113483,Elliptical
113509,Spiral
113510,Spiral
113512,Elliptical
113516,Elliptical
113518,Elliptical
113539,Elliptical
113553,Elliptical
113556,Spiral
113566,Elliptical
113567,Spiral
113608,Spiral
113609,Spiral
113617,Spiral
113622,Irregular
113641,Spiral
113655,Spiral
113672,Elliptical
113692,Spiral
113746,Elliptical
113761,Elliptical
113766,Elliptical
113779,Spiral
113813,Elliptical
113823,Spiral
113828,Elliptical
113845,Elliptical
113857,Elliptical
113858,Spiral
113903,Elliptical
113913,Elliptical
113940,Spiral
113944,Elliptical
113951,Spiral
113965,Elliptical
113971,Irregular
113975,Elliptical
113987,Spiral
113992,Elliptical
113999,Elliptical
114000,Spiral
114026,Spiral
114029,Spiral
114046,Elliptical
114059,Spiral
114080,Spiral
114117,Elliptical
114173,Elliptical
114190,Elliptical
114191,Elliptical
114207,Elliptical
114236,Elliptical
114240,Spiral
114256,Spiral
114271,Elliptical
114289,Elliptical
114294,Elliptical
114305,Spiral
114319,Elliptical
114329,Spiral
114337,Elliptical
114354,Spiral
114433,Spiral
114435,Elliptical
114457,Elliptical
114462,Elliptical
114464,Elliptical
114502,Spiral
114517,Irregular
114550,Spiral
114570,Elliptical
114586,Spiral
114587,Spiral
114588,Elliptical
114600,Spiral
114602,Spiral
114620,Spiral
114642,Elliptical
114650,Elliptical
114654,Elliptical
114658,Spiral
114682,Elliptical
114688,Irregular
114695,Elliptical
114696,Elliptical
114741,Spiral
114772,Irregular
114815,Spiral
114863,Spiral
114893,Elliptical
114896,Spiral
114898,Spiral
114957,Spiral
114965,Spiral
114966,Spiral
114993,Elliptical
115031,Spiral
115033,Irregular
115042,Elliptical
115051,Elliptical
115073,Elliptical
115091,Elliptical
115094,Elliptical
115102,Spiral
115106,Elliptical
115109,Elliptical
115114,Elliptical
115126,Spiral
115132,Elliptical
115143,Spiral
115163,Spiral
115191,Elliptical
115235,Elliptical
115247,Spiral
115255,Elliptical
115272,Irregular
115275,Elliptical
115299,Spiral
115304,Spiral
115314,Spiral
115330,Elliptical
115339,Spiral
115357,Elliptical
115368,Elliptical
115384,Elliptical
115385,Elliptical
115389,Elliptical
115390,Elliptical
115399,Spiral
115402,Elliptical
115426,Elliptical
115430,Elliptical
115449,Elliptical
115450,Elliptical
115490,Irregular
115506,Elliptical
115515,Irregular
115525,Elliptical
115526,Spiral
115535,Spiral
115541,Elliptical
115545,Elliptical
115560,Elliptical
115571,Spiral
115587,Spiral
115597,Elliptical
115617,Spiral
115659,Spiral
115662,Elliptical
115675,Spiral
115716,Elliptical
115718,Elliptical
115736,Elliptical
115753,Elliptical
115766,Spiral
115777,Irregular
115787,Elliptical
115815,Spiral
115818,Elliptical
115824,Spiral
115838,Elliptical
115840,Spiral
115845,Elliptical
115854,Elliptical
115858,Elliptical
115869,Elliptical
115870,Irregular
115883,Elliptical
115886,Elliptical
115891,Elliptical
115905,Spiral
115918,Elliptical
115938,Elliptical
115942,Elliptical
115953,Elliptical
116011,Elliptical
116043,Spiral
116044,Irregular
